ProbeID,Codeset.Name,Probe.Label,Analyte.Type,Is.Control,Control.Type,Related.Probes,Probe.Annotation,KEGG.Pathways,Cell.Type,Official.Gene.Name,Fusion.Probe.Type,Fusion.Base,SNV.Probe.Type,SNV.LocID,SNV.annot
NM_002750.2:945,NS_Hs_HostResponse_v1.0,MAPK8,mRNA,0,,,Type I Interferon Signaling;TNF Signaling;TLR Signaling;TCR Signaling;RNA Sensing;NLR Signaling;MAPK Signaling;IL-1 Signaling,hsa04010;hsa04012;hsa04014;hsa04024;hsa04068;hsa04071;hsa04141;hsa04310;hsa04380;hsa04510;hsa04620;hsa04621;hsa04622;hsa04664;hsa04668;hsa04722;hsa04723;hsa04728;hsa04750;hsa04910;hsa04912;hsa04914;hsa04917;hsa04920;hsa04930;hsa04931;hsa04932;hsa04933;hsa05120;hsa05131;hsa05132;hsa05133;hsa05142;hsa05145;hsa05152;hsa05160;hsa05161;hsa05164;hsa05166;hsa05168;hsa05169;hsa05200;hsa05210;hsa05212;hsa05231,,MAPK8,,,,,
NM_003639.2:470,NS_Hs_HostResponse_v1.0,IKBKG,mRNA,0,,,Type I Interferon Signaling;TNF Signaling;TLR Signaling;TCR Signaling;RNA Sensing;NLR Signaling;NF-kappaB Signaling;Glycan Sensing;DNA Sensing;BCR Signaling,hsa04010;hsa04014;hsa04062;hsa04064;hsa04151;hsa04210;hsa04380;hsa04620;hsa04621;hsa04622;hsa04623;hsa04660;hsa04662;hsa04668;hsa04920;hsa05120;hsa05131;hsa05142;hsa05145;hsa05160;hsa05161;hsa05166;hsa05168;hsa05169;hsa05200;hsa05203;hsa05212;hsa05215;hsa05220;hsa05221;hsa05222;hsa05340,,IKBKG,,,,,
NM_003804.3:710,NS_Hs_HostResponse_v1.0,RIPK1,mRNA,0,,,Type I Interferon Signaling;TNF Signaling;TLR Signaling;RNA Sensing;NLR Signaling;NF-kappaB Signaling;DNA Sensing,hsa04064;hsa04210;hsa04620;hsa04622;hsa04623;hsa04668;hsa05160;hsa05169,,RIPK1,,,,,
NM_003810.2:115,NS_Hs_HostResponse_v1.0,TNFSF10,mRNA,0,,,Cytotoxicity;Apoptosis,hsa04060;hsa04068;hsa04210;hsa04650;hsa05162;hsa05164,,TNFSF10,,,,,
NM_003821.5:1695,NS_Hs_HostResponse_v1.0,RIPK2,mRNA,0,,,TLR Signaling;TCR Signaling;NLR Signaling;IL-1 Signaling,hsa04621;hsa04722;hsa05131;hsa05152,,RIPK2,,,,,
NM_003842.3:565,NS_Hs_HostResponse_v1.0,TNFRSF10B,mRNA,0,,,Cytotoxicity;Apoptosis,hsa04060;hsa04115;hsa04210;hsa04650;hsa05162;hsa05164,,TNFRSF10B,,,,,
NM_003998.2:1675,NS_Hs_HostResponse_v1.0,NFKB1,mRNA,0,,,Type I Interferon Signaling;TNF Signaling;TLR Signaling;TH1 Differentiation;TCR Signaling;RNA Sensing;NLR Signaling;NF-kappaB Signaling;Myeloid Activation;Inflammasomes;Glycan Sensing;DNA Sensing;BCR Signaling,hsa04010;hsa04014;hsa04024;hsa04062;hsa04064;hsa04066;hsa04071;hsa04151;hsa04210;hsa04211;hsa04380;hsa04620;hsa04621;hsa04622;hsa04623;hsa04660;hsa04662;hsa04668;hsa04722;hsa04917;hsa04920;hsa04931;hsa04932;hsa04933;hsa05030;hsa05120;hsa05131;hsa05132;hsa05133;hsa05134;hsa05140;hsa05142;hsa05145;hsa05146;hsa05152;hsa05160;hsa05161;hsa05162;hsa05164;hsa05166;hsa05168;hsa05169;hsa05200;hsa05202;hsa05203;hsa05206;hsa05212;hsa05215;hsa05220;hsa05221;hsa05222;hsa05321,,NFKB1,,,,,
NM_004347.1:580,NS_Hs_HostResponse_v1.0,CASP5,mRNA,0,,,NLR Signaling,hsa04621,,CASP5,,,,,
NM_005092.2:175,NS_Hs_HostResponse_v1.0,TNFSF18,mRNA,0,,,T-cell Costimulation;NF-kappaB Signaling,hsa04060,,TNFSF18,,,,,
NM_005356.2:1260,NS_Hs_HostResponse_v1.0,LCK,mRNA,0,,,TCR Signaling;NK Activity;NF-kappaB Signaling,hsa04064;hsa04380;hsa04650;hsa04660;hsa05166;hsa05340,,LCK,,,,,
NM_005923.3:2415,NS_Hs_HostResponse_v1.0,MAP3K5,mRNA,0,,,TNF Signaling;Proteotoxic Stress;Oxidative Stress Response,hsa04010;hsa04071;hsa04141;hsa04668;hsa04722;hsa04932;hsa05014,,MAP3K5,,,,,
NM_012448.3:200,NS_Hs_HostResponse_v1.0,STAT5B,mRNA,0,,,TH2 Differentiation;IL-2 Signaling,hsa04012;hsa04062;hsa04630;hsa04917;hsa04933;hsa05161;hsa05162;hsa05166;hsa05200;hsa05203;hsa05220;hsa05221,,STAT5B,,,,,
NM_013254.2:1610,NS_Hs_HostResponse_v1.0,TBK1,mRNA,0,,,Type I Interferon Signaling;TLR Signaling;RNA Sensing;NLR Signaling;IL-1 Signaling;DNA Sensing,hsa04014;hsa04620;hsa04622;hsa04623;hsa05160;hsa05161;hsa05162;hsa05164;hsa05168;hsa05169,,TBK1,,,,,
NM_021138.3:1325,NS_Hs_HostResponse_v1.0,TRAF2,mRNA,0,,,TNF Signaling;RNA Sensing;NLR Signaling;NF-kappaB Signaling,hsa04010;hsa04064;hsa04071;hsa04141;hsa04210;hsa04380;hsa04622;hsa04668;hsa04920;hsa04932;hsa05160;hsa05168;hsa05169;hsa05200;hsa05203;hsa05222,,TRAF2,,,,,
NM_032415.2:1075,NS_Hs_HostResponse_v1.0,CARD11,mRNA,0,,,TCR Signaling;NF-kappaB Signaling;Glycan Sensing;BCR Signaling,hsa04064;hsa04660;hsa04662,,CARD11,,,,,
NM_033004.2:2135,NS_Hs_HostResponse_v1.0,NLRP1,mRNA,0,,,NLR Signaling;Inflammasomes,hsa04621,,NLRP1,,,,,
NM_139017.3:1180,NS_Hs_HostResponse_v1.0,IL31RA,mRNA,0,,,Myeloid Activation;IL-6 Signaling,,,IL31RA,,,,,
NM_000194.1:240,NS_Hs_HostResponse_v1.0,HPRT1,mRNA,1,Housekeeping,,,,,HPRT1,,,,,
NM_002229.2:1155,NS_Hs_HostResponse_v1.0,JUNB,mRNA,0,,,TNF Signaling;TGF-beta Signaling;Other Interleukin Signaling;MAPK Signaling,hsa04380;hsa04668,,JUNB,,,,,
NM_005178.2:450,NS_Hs_HostResponse_v1.0,BCL3,mRNA,0,,,TNF Signaling,hsa04668,,BCL3,,,,,
NM_002341.1:330,NS_Hs_HostResponse_v1.0,LTB,mRNA,0,,,NF-kappaB Signaling,hsa04060;hsa04064;hsa05323,,LTB,,,,,
NM_000586.2:300,NS_Hs_HostResponse_v1.0,IL2,mRNA,0,,,TH2 Differentiation;TH1 Differentiation;TCR Signaling;JAK-STAT Signaling;IL-2 Signaling,hsa04060;hsa04151;hsa04630;hsa04660;hsa04672;hsa04940;hsa05142;hsa05162;hsa05166;hsa05320;hsa05321;hsa05330;hsa05332,,IL2,,,,,
NM_001556.1:1995,NS_Hs_HostResponse_v1.0,IKBKB,mRNA,0,,,Type I Interferon Signaling;TNF Signaling;TLR Signaling;TCR Signaling;RNA Sensing;NLR Signaling;NF-kappaB Signaling;Glycan Sensing;DNA Sensing;BCR Signaling,hsa04010;hsa04014;hsa04062;hsa04064;hsa04068;hsa04150;hsa04151;hsa04210;hsa04380;hsa04620;hsa04621;hsa04622;hsa04623;hsa04660;hsa04662;hsa04668;hsa04722;hsa04910;hsa04920;hsa04930;hsa04931;hsa04932;hsa05120;hsa05131;hsa05142;hsa05145;hsa05160;hsa05161;hsa05164;hsa05166;hsa05168;hsa05169;hsa05200;hsa05206;hsa05212;hsa05215;hsa05220;hsa05221;hsa05222,,IKBKB,,,,,
NM_002190.2:240,NS_Hs_HostResponse_v1.0,IL17A,mRNA,0,,,TH17 Differentiation;IL-17 Signaling,hsa04060;hsa05321;hsa05323,,IL17A,,,,,
NM_002759.1:1760,NS_Hs_HostResponse_v1.0,EIF2AK2,mRNA,0,,,Type I Interferon Signaling;Proteotoxic Stress;Interferon Response Genes,hsa04141;hsa05160;hsa05162;hsa05164;hsa05168;hsa05169;hsa05203,,EIF2AK2,,,,,
NM_002800.4:455,NS_Hs_HostResponse_v1.0,PSMB9,mRNA,0,,,TCR Signaling;NF-kappaB Signaling;MHC Class I Antigen Presentation;Glycan Sensing;BCR Signaling,hsa03050,,PSMB9,,,,,
NM_006254.3:2165,NS_Hs_HostResponse_v1.0,PRKCD,mRNA,0,,,Type II Interferon Signaling;NLR Signaling;Myeloid Activation;Glycan Sensing;Chemokine Signaling,hsa04062;hsa04270;hsa04530;hsa04666;hsa04722;hsa04750;hsa04912;hsa04915;hsa04930;hsa04931;hsa04933,,PRKCD,,,,,
NM_014314.3:2130,NS_Hs_HostResponse_v1.0,DDX58,mRNA,0,,,Type I Interferon Signaling;RNA Sensing;NF-kappaB Signaling;Interferon Response Genes;DNA Sensing,hsa04064;hsa04622;hsa04623;hsa05160;hsa05161;hsa05162;hsa05164;hsa05168;hsa05169,,DDX58,,,,,
NM_015675.2:365,NS_Hs_HostResponse_v1.0,GADD45B,mRNA,0,,,NF-kappaB Signaling;Apoptosis,hsa04010;hsa04064;hsa04068;hsa04110;hsa04115,,GADD45B,,,,,
NM_017442.2:985,NS_Hs_HostResponse_v1.0,TLR9,mRNA,0,,,TLR Signaling,hsa04620;hsa05142;hsa05143;hsa05144;hsa05152;hsa05162;hsa05168,,TLR9,,,,,
NM_002090.2:540,NS_Hs_HostResponse_v1.0,CXCL3,mRNA,0,,,TNF Signaling;NLR Signaling;NF-kappaB Signaling;Chemokine Signaling,hsa04060;hsa04062;hsa04668;hsa05132;hsa05134,,CXCL3,,,,,
NM_001025366.1:1325,NS_Hs_HostResponse_v1.0,VEGFA,mRNA,0,,,Tissue Stress;Other Interleukin Signaling;NO Signaling;HIF1A Signaling;Coagulation,hsa04014;hsa04015;hsa04060;hsa04066;hsa04150;hsa04151;hsa04370;hsa04510;hsa04933;hsa05200;hsa05205;hsa05206;hsa05211;hsa05212;hsa05219;hsa05323,,VEGFA,,,,,
NM_013351.1:890,NS_Hs_HostResponse_v1.0,TBX21,mRNA,0,,,TH2 Differentiation;TH17 Differentiation;TH1 Differentiation,hsa05321,Th1 cells,TBX21,,,,,
NM_000879.2:105,NS_Hs_HostResponse_v1.0,IL5,mRNA,0,,,TH2 Differentiation;TCR Signaling;JAK-STAT Signaling;IL-2 Signaling,hsa04060;hsa04630;hsa04640;hsa04660;hsa04664;hsa04672;hsa05310;hsa05320;hsa05321;hsa05330,,IL5,,,,,
NM_052872.3:210,NS_Hs_HostResponse_v1.0,IL17F,mRNA,0,,,TH17 Differentiation;IL-17 Signaling,hsa05321,,IL17F,,,,,
NM_173214.1:3290,NS_Hs_HostResponse_v1.0,NFAT5,mRNA,0,,,TCR Signaling;NK Activity,,,NFAT5,,,,,
NM_172348.1:535,NS_Hs_HostResponse_v1.0,IL4,mRNA,0,,,TH9 Differentiation;TH2 Differentiation;TH17 Differentiation;TCR Signaling;Myeloid Activation;Mononuclear Cell Migration;JAK-STAT Signaling;IL-1 Signaling,hsa04060;hsa04151;hsa04630;hsa04640;hsa04660;hsa04664;hsa04672;hsa05140;hsa05162;hsa05310;hsa05320;hsa05321;hsa05330,,IL4,,,,,
NM_139266.1:455,NS_Hs_HostResponse_v1.0,STAT1,mRNA,0,,,Type III Interferon Signaling;Type I Interferon Signaling;TH1 Differentiation;NLR Signaling;Interferon Response Genes;IL-6 Signaling;IL-2 Signaling,hsa04062;hsa04380;hsa04620;hsa04630;hsa04917;hsa04919;hsa04933;hsa05140;hsa05145;hsa05152;hsa05160;hsa05161;hsa05162;hsa05164;hsa05168;hsa05200;hsa05212;hsa05321,,STAT1,,,,,
NM_001140.3:1910,NS_Hs_HostResponse_v1.0,ALOX15,mRNA,0,,,Other Interleukin Signaling;Leukotriene and Prostaglandin Inflammation,hsa00590;hsa04726,,ALOX15,,,,,
NM_002093.2:925,NS_Hs_HostResponse_v1.0,GSK3B,mRNA,0,,,TCR Signaling;BCR Signaling,hsa04012;hsa04062;hsa04110;hsa04151;hsa04310;hsa04360;hsa04390;hsa04510;hsa04550;hsa04660;hsa04662;hsa04722;hsa04728;hsa04910;hsa04916;hsa04917;hsa04919;hsa04931;hsa04932;hsa05010;hsa05160;hsa05162;hsa05164;hsa05166;hsa05169;hsa05200;hsa05210;hsa05213;hsa05215,,GSK3B,,,,,
NM_005359.3:1370,NS_Hs_HostResponse_v1.0,SMAD4,mRNA,0,,,Treg Differentiation;TH17 Differentiation;TGF-beta Signaling,hsa04068;hsa04110;hsa04310;hsa04350;hsa04390;hsa04520;hsa04550;hsa04933;hsa05161;hsa05166;hsa05200;hsa05210;hsa05212;hsa05220,,SMAD4,,,,,
NM_032536.1:1240,NS_Hs_HostResponse_v1.0,NTNG2,mRNA,0,,,Lymphocyte Trafficking,hsa04360;hsa04514,,NTNG2,,,,,
NM_000130.2:5810,NS_Hs_HostResponse_v1.0,F5,mRNA,0,,,Complement System;Coagulation,hsa04610,,F5,,,,,
NM_000698.2:735,NS_Hs_HostResponse_v1.0,ALOX5,mRNA,0,,,Myeloid Inflammation;Myeloid Activation;Leukotriene and Prostaglandin Inflammation;IL-1 Signaling,hsa00590;hsa04726;hsa05145,,ALOX5,,,,,
NM_003329.2:55,NS_Hs_HostResponse_v1.0,TXN,mRNA,0,,,Oxidative Stress Response;NLR Signaling;Inflammasomes,,,TXN,,,,,
NM_006140.3:660,NS_Hs_HostResponse_v1.0,CSF2RA,mRNA,0,,,JAK-STAT Signaling;IL-2 Signaling,hsa04060;hsa04630;hsa04640;hsa05200,,CSF2RA,,,,,
NM_006433.2:305,NS_Hs_HostResponse_v1.0,GNLY,mRNA,0,,,Host Defense Peptides,,Cytotoxic cells,GNLY,,,,,
NM_005621.1:260,NS_Hs_HostResponse_v1.0,S100A12,mRNA,0,,,TLR Signaling;RNA Sensing;Myeloid Activation;Mononuclear Cell Migration;IL-1 Signaling,,Neutrophils,S100A12,,,,,
NM_002754.3:1050,NS_Hs_HostResponse_v1.0,MAPK13,mRNA,0,,,TNF Signaling;TLR Signaling;TH17 Differentiation;TCR Signaling;RNA Sensing;NLR Signaling;MAPK Signaling,hsa04010;hsa04015;hsa04068;hsa04071;hsa04261;hsa04370;hsa04380;hsa04550;hsa04611;hsa04620;hsa04621;hsa04622;hsa04660;hsa04664;hsa04668;hsa04670;hsa04722;hsa04723;hsa04728;hsa04750;hsa04912;hsa04914;hsa04917;hsa04933;hsa05014;hsa05120;hsa05131;hsa05132;hsa05133;hsa05140;hsa05142;hsa05145;hsa05152;hsa05160;hsa05164;hsa05169;hsa05205,,MAPK13,,,,,
NM_003326.2:545,NS_Hs_HostResponse_v1.0,TNFSF4,mRNA,0,,,T-cell Costimulation;NF-kappaB Signaling,hsa04060,,TNFSF4,,,,,
NM_002116.5:1000,NS_Hs_HostResponse_v1.0,HLA-A,mRNA,0,,,Type II Interferon Signaling;Type I Interferon Signaling;MHC Class I Antigen Presentation,hsa04144;hsa04145;hsa04514;hsa04612;hsa04650;hsa04940;hsa05166;hsa05168;hsa05169;hsa05203;hsa05320;hsa05330;hsa05332;hsa05416,,HLA-A,,,,,
NM_001781.1:460,NS_Hs_HostResponse_v1.0,CD69,mRNA,0,,,T-cell Costimulation,,,CD69,,,,,
NM_005214.3:405,NS_Hs_HostResponse_v1.0,CTLA4,mRNA,0,,,TCR Signaling;T-cell Costimulation;Immune Exhaustion,hsa04514;hsa04660;hsa05320;hsa05323,,CTLA4,,,,,
NM_002258.2:85,NS_Hs_HostResponse_v1.0,KLRB1,mRNA,0,,,NK Activity,hsa05144,Cytotoxic cells,KLRB1,,,,,
NM_002259.3:335,NS_Hs_HostResponse_v1.0,KLRC1,mRNA,0,,,NK Activity,hsa04612;hsa04650;hsa05332,,KLRC1,,,,,
NM_007360.1:760,NS_Hs_HostResponse_v1.0,KLRK1,mRNA,0,,,NK Activity,hsa04650;hsa05144,Cytotoxic cells,KLRK1,,,,,
NM_001337.3:1040,NS_Hs_HostResponse_v1.0,CX3CR1,mRNA,0,,,Chemokine Signaling,hsa04060;hsa04062,,CX3CR1,,,,,
NM_001504.1:80,NS_Hs_HostResponse_v1.0,CXCR3,mRNA,0,,,Chemokine Signaling,hsa04060;hsa04062,,CXCR3,,,,,
NM_001837.2:980,NS_Hs_HostResponse_v1.0,CCR3,mRNA,0,,,Chemokine Signaling,hsa04060;hsa04062;hsa05203,,CCR3,,,,,
NM_004054.2:415,NS_Hs_HostResponse_v1.0,C3AR1,mRNA,0,,,Myeloid Activation;Mononuclear Cell Migration;Complement System,hsa04080;hsa04610;hsa05150,,C3AR1,,,,,
NM_005201.2:245,NS_Hs_HostResponse_v1.0,CCR8,mRNA,0,,,Chemokine Signaling,hsa04060;hsa04062;hsa05203,,CCR8,,,,,
NM_005283.2:700,NS_Hs_HostResponse_v1.0,XCR1,mRNA,0,,,Chemokine Signaling,hsa04060;hsa04062,,XCR1,,,,,
NM_006055.1:1085,NS_Hs_HostResponse_v1.0,LANCL1,mRNA,0,,,Oxidative Stress Response,,,LANCL1,,,,,
NM_031200.1:1095,NS_Hs_HostResponse_v1.0,CCR9,mRNA,0,,,Chemokine Signaling,hsa04060;hsa04062;hsa04672,,CCR9,,,,,
NM_170604.1:1625,NS_Hs_HostResponse_v1.0,RASGRP4,mRNA,0,,,Myeloid Inflammation,hsa04010;hsa04014;hsa05200,,RASGRP4,,,,,
NM_000291.2:1030,NS_Hs_HostResponse_v1.0,PGK1,mRNA,1,Housekeeping,,,,,PGK1,,,,,
NM_001090.2:850,NS_Hs_HostResponse_v1.0,ABCF1,mRNA,1,Housekeeping,,,,,ABCF1,,,,,
NM_000215.2:1715,NS_Hs_HostResponse_v1.0,JAK3,mRNA,0,,,TH2 Differentiation;TH17 Differentiation;IL-2 Signaling,hsa04062;hsa04151;hsa04550;hsa04630;hsa05162;hsa05166;hsa05169;hsa05203;hsa05340,,JAK3,,,,,
NM_001024847.1:1760,NS_Hs_HostResponse_v1.0,TGFBR2,mRNA,0,,,Treg Differentiation;TH9 Differentiation;TH17 Differentiation;TGF-beta Signaling;Myeloid Activation,hsa04010;hsa04060;hsa04068;hsa04144;hsa04350;hsa04380;hsa04390;hsa04520;hsa04933;hsa05142;hsa05166;hsa05200;hsa05202;hsa05210;hsa05212;hsa05220,,TGFBR2,,,,,
NM_001031801.1:1590,NS_Hs_HostResponse_v1.0,LIMK2,mRNA,0,,,Phagocytosis,hsa04360;hsa04666;hsa04810,,LIMK2,,,,,
NM_001079.3:1175,NS_Hs_HostResponse_v1.0,ZAP70,mRNA,0,,,TCR Signaling;NK Activity;NF-kappaB Signaling,hsa04014;hsa04064;hsa04650;hsa04660;hsa05340,,ZAP70,,,,,
NM_001105.2:1665,NS_Hs_HostResponse_v1.0,ACVR1,mRNA,0,,,TGF-beta Signaling,hsa04060;hsa04350;hsa04550,,ACVR1,,,,,
NM_001715.2:990,NS_Hs_HostResponse_v1.0,BLK,mRNA,0,,,BCR Signaling,,B-cells,BLK,,,,,
NM_002037.3:765,NS_Hs_HostResponse_v1.0,FYN,mRNA,0,,,TCR Signaling;Other Interleukin Signaling;NK Activity;Glycan Sensing;BCR Signaling,hsa04071;hsa04072;hsa04360;hsa04380;hsa04510;hsa04520;hsa04611;hsa04650;hsa04660;hsa04664;hsa04725;hsa05020;hsa05130;hsa05162;hsa05416,,FYN,,,,,
NM_002110.2:260,NS_Hs_HostResponse_v1.0,HCK,mRNA,0,,,Phagocytosis;Chemokine Signaling,hsa04062;hsa04666,,HCK,,,,,
